Emoji,Description
😀,Grinning Face
😃,Grinning Face with Big Eyes
😄,Grinning Face with Smiling Eyes
😁,Beaming Face with Smiling Eyes
😆,Grinning Squinting Face
😅,Grinning Face with Sweat
😂,Face with Tears of Joy
🤣,Rolling on the Floor Laughing
😊,Smiling Face with Smiling Eyes
😇,Smiling Face with Halo
🙂,Slightly Smiling Face
🙃,Upside-Down Face
😉,Winking Face
😌,Relieved Face
😍,Smiling Face with Heart-Eyes
🥰,Smiling Face with Hearts
😘,Face Blowing a Kiss
😗,Kissing Face
😙,Kissing Face with Smiling Eyes
😚,Kissing Face with Closed Eyes
😋,Face Savoring Food
😛,Face with Tongue
😜,Winking Face with Tongue
🤪,Zany Face
😝,Squinting Face with Tongue
🤑,Money-Mouth Face
🤗,Hugging Face
🤭,Face with Hand Over Mouth
🤫,Shushing Face
🤔,Thinking Face
🤐,Zipper-Mouth Face
🤨,Face with Raised Eyebrow
😐,Neutral Face
😑,Expressionless Face
😶,Face Without Mouth
😏,Smirking Face
😒,Unamused Face
🙄,Face with Rolling Eyes
😬,Grimacing Face
🤥,Lying Face
😔,Pensive Face
😪,Sleepy Face
🤤,Drooling Face
😴,Sleeping Face
😷,Face with Medical Mask
🤒,Face with Thermometer
🤕,Face with Head-Bandage
🤢,Nauseated Face
🤮,Face Vomiting
🤧,Sneezing Face
🥵,Hot Face
🥶,Cold Face
🥴,Woozy Face
😵,Dizzy Face
🤯,Exploding Head
🤠,Cowboy Hat Face
🥳,Partying Face
😎,Smiling Face with Sunglasses
🤓,Nerd Face
🧐,Face with Monocle
😕,Confused Face
😟,Worried Face
🙁,Slightly Frowning Face
☹️,Frowning Face
😮,Face with Open Mouth
😯,Hushed Face
😲,Astonished Face
😳,Flushed Face
🥺,Pleading Face
😦,Frowning Face with Open Mouth
😧,Anguished Face
😨,Fearful Face
😰,Anxious Face with Sweat
😥,Sad but Relieved Face
😢,Crying Face
😭,Loudly Crying Face
😱,Face Screaming in Fear
😖,Confounded Face
😣,Persevering Face
😞,Disappointed Face
😓,Downcast Face with Sweat
😩,Weary Face
😫,Tired Face
🥱,Yawning Face
😤,Face with Steam From Nose
😡,Pouting Face
😠,Angry Face
🤬,Face with Symbols on Mouth
😈,Smiling Face with Horns
👿,Angry Face with Horns
💀,Skull
☠️,Skull and Crossbones
💩,Pile of Poo
🤡,Clown Face
👹,Ogre
👺,Goblin
👻,Ghost
👽,Alien
👾,Alien Monster
🤖,Robot
🎃,Jack-O-Lantern
😺,Grinning Cat
😸,Grinning Cat with Smiling Eyes
😹,Cat with Tears of Joy
😻,Smiling Cat with Heart-Eyes
😼,Cat with Wry Smile
😽,Kissing Cat
🙀,Weary Cat
😿,Crying Cat
😾,Pouting Cat
🙈,See-No-Evil Monkey
🙉,Hear-No-Evil Monkey
🙊,Speak-No-Evil Monkey
💋,Kiss Mark
💌,Love Letter
💘,Heart with Arrow
💝,Heart with Ribbon
💖,Sparkling Heart
💗,Growing Heart
💓,Beating Heart
💞,Revolving Hearts
💕,Two Hearts
💟,Heart Decoration
❣️,Heart Exclamation
💔,Broken Heart
❤️,Red Heart
🧡,Orange Heart
💛,Yellow Heart
💚,Green Heart
💙,Blue Heart
💜,Purple Heart
🤎,Brown Heart
🖤,Black Heart
🤍,White Heart
💯,Hundred Points
💢,Anger Symbol
💥,Collision
💫,Dizzy
💦,Sweat Droplets
💨,Dashing Away
🕳️,Hole
🛀,Person Taking Bath
🛌,Person in Bed
🔪,Kitchen Knife
🏺,Amphora
🌍,Globe Showing Europe-Africa
🌎,Globe Showing Americas
🌏,Globe Showing Asia-Australia
🌐,Globe with Meridians
🗺️,World Map
🗿,Moai
🛢️,Oil Drum
🛸,Flying Saucer
🏮,Red Paper Lantern
🎌,Crossed Flags
🎴,Flower Playing Cards
🎭,Performing Arts
🖼️,Framed Picture
🎨,Artist Palette
🧵,Thread
🧶,Yarn
🛠️,Hammer and Wrench
🧰,Toolbox
🔧,Wrench
🔨,Hammer
⛏️,Pick
🪓,Axe
🔩,Nut and Bolt
⚙️,Gear
🗜️,Clamp
⚖️,Balance Scale
🔗,Link
⛓️,Chains
🧲,Magnet
🧪,Test Tube
🧫,Petri Dish
🧬,DNA
🔬,Microscope
🔭,Telescope
📡,Satellite Antenna
💉,Syringe
🩸,Drop of Blood
💊,Pill
🩹,Adhesive Bandage
🩺,Stethoscope
🚪,Door
🛏️,Bed
🛋️,Couch and Lamp
🪑,Chair
🚽,Toilet
🚿,Shower
🛁,Bathtub
🪒,Razor
🧴,Lotion Bottle
🧷,Safety Pin
🧹,Broom
🧺,Basket
🧻,Roll of Paper
🧼,Soap
🧽,Sponge
🧯,Fire Extinguisher
🛒,Shopping Cart
🚬,Cigarette
⚰️,Coffin
⚱️,Funeral Urn
🚰,Potable Water
🚹,Men's Room
🚺,Women's Room
🚻,Restroom
🚼,Baby Symbol
🚾,Water Closet
🛂,Passport Control
🛃,Customs
🛄,Baggage Claim
🛅,Baggage
⚔️,Crossed Swords
🛡️,Shield
🔮,Crystal Ball
🧿,Nazar Amulet
💈,Barber Pole
⚗️,Alembic
🌡️,Thermometer
⌛,Hourglass
⏳,Hourglass with Flowing Sand
⌚,Watch
⏰,Alarm Clock
⏱️,Stopwatch
🕰️,Mantelpiece Clock
🌙,Crescent Moon
🌚,New Moon Face
🌛,First Quarter Moon Face
🌜,Last Quarter Moon Face
🌝,Full Moon Face
⭐,Star
🌟,Glowing Star
🌠,Shooting Star
🌌,Milky Way
☀️,Sun
🌤️,Sun Behind Small Cloud
⛅,Sun Behind Cloud
🌥️,Sun Behind Large Cloud
🌦️,Sun Behind Rain Cloud
🌧️,Cloud with Rain
⛈️,Cloud with Lightning and Rain
🌩️,Cloud with Lightning
🌨️,Cloud with Snow
☁️,Cloud
🌫️,Fog
🌪️,Tornado
🌬️,Wind Face
🌀,Cyclone
🌈,Rainbow
🌂,Closed Umbrella
☂️,Umbrella
☔,Umbrella with Rain Drops
⛱️,Umbrella on Ground
⚡,High Voltage
❄️,Snowflake
☃️,Snowman
⛄,Snowman Without Snow
🔥,Fire
💧,Droplet
🌊,Water Wave
🎄,Christmas Tree
🎆,Fireworks
🎇,Sparkler
🧨,Firecracker
✨,Sparkles
🎈,Balloon
🎉,Party Popper
🎊,Confetti Ball
🎋,Tanabata Tree
🎍,Pine Decoration
🎎,Japanese Dolls
🎏,Carp Streamer
🎐,Wind Chime
🎑,Moon Viewing Ceremony
🧧,Red Envelope
🎀,Ribbon
🎁,Wrapped Gift
🎗️,Reminder Ribbon
🎟️,Admission Tickets
🎫,Ticket
🛎️,Bellhop Bell
🧳,Luggage
🕛,Twelve O'Clock
🕧,Twelve-Thirty
🕐,One O'Clock
🕜,One-Thirty
🕑,Two O'Clock
🕝,Two-Thirty
🕒,Three O'Clock
🕞,Three-Thirty
🕓,Four O'Clock
🕟,Four-Thirty
🕔,Five O'Clock
🕠,Five-Thirty
🕕,Six O'Clock
🕡,Six-Thirty
🕖,Seven O'Clock
